CBASS;Temperature;Species;Sample;Pam.mean
CBASS1;27;Pocillipora damicornis;T0_1;0.638
CBASS1;27;Pocillipora damicornis;T0_2;0.614
CBASS1;27;Pocillipora damicornis;T0_3;0.665
CBASS1;27;Pocillipora damicornis;T0_4;0.635
CBASS1;30;Pocillipora damicornis;T1_1;0.676
CBASS1;30;Pocillipora damicornis;T1_2;0.544
CBASS1;30;Pocillipora damicornis;T1_3;0.647
CBASS1;30;Pocillipora damicornis;T1_4;0.644
CBASS1;33;Pocillipora damicornis;T2_1;0.590
CBASS1;33;Pocillipora damicornis;T2_2;0.593
CBASS1;33;Pocillipora damicornis;T2_3;0.661
CBASS1;33;Pocillipora damicornis;T2_4;0.617
CBASS1;35;Pocillipora damicornis;T3_1;0.482
CBASS1;35;Pocillipora damicornis;T3_2;0.548
CBASS1;35;Pocillipora damicornis;T3_3;0.503
CBASS1;35;Pocillipora damicornis;T3_4;0.567
CBASS1;36;Pocillipora damicornis;T4_1;0.462
CBASS1;36;Pocillipora damicornis;T4_2;0.477
CBASS1;36;Pocillipora damicornis;T4_3;0.483
CBASS1;36;Pocillipora damicornis;T4_4;0.449
CBASS1;39;Pocillipora damicornis;T5_1;0.138
CBASS1;39;Pocillipora damicornis;T5_2;0.094
CBASS1;39;Pocillipora damicornis;T5_3;0.197
CBASS1;39;Pocillipora damicornis;T5_4;0.072
