time,hour,minute,second,day_sec,light,interval,treatment,fragment
10:13:56,10,13,56,36836,138,1,33,F3
10:13:57,10,13,57,36837,138,1,33,F3
10:13:58,10,13,58,36838,138,1,33,F3
10:13:59,10,13,59,36839,138,1,33,F3
10:14:00,10,14,0,36840,138,1,33,F3
10:14:01,10,14,1,36841,138,1,33,F3
10:14:02,10,14,2,36842,138,1,33,F3
10:14:03,10,14,3,36843,138,1,33,F3
10:14:04,10,14,4,36844,138,1,33,F3
10:14:05,10,14,5,36845,138,1,33,F3
10:14:06,10,14,6,36846,138,1,33,F3
10:14:07,10,14,7,36847,138,1,33,F3
10:14:08,10,14,8,36848,138,1,33,F3
10:14:09,10,14,9,36849,138,1,33,F3
10:14:10,10,14,10,36850,138,1,33,F3
10:14:11,10,14,11,36851,138,1,33,F3
10:14:12,10,14,12,36852,138,1,33,F3
10:14:13,10,14,13,36853,138,1,33,F3
10:14:14,10,14,14,36854,138,1,33,F3
10:14:15,10,14,15,36855,138,1,33,F3
10:14:16,10,14,16,36856,138,1,33,F3
10:14:17,10,14,17,36857,138,1,33,F3
10:14:18,10,14,18,36858,138,1,33,F3
10:14:19,10,14,19,36859,138,1,33,F3
10:14:20,10,14,20,36860,138,1,33,F3
10:14:21,10,14,21,36861,138,1,33,F3
10:14:22,10,14,22,36862,138,1,33,F3
10:14:23,10,14,23,36863,138,1,33,F3
10:14:24,10,14,24,36864,138,1,33,F3
10:14:25,10,14,25,36865,138,1,33,F3
10:14:26,10,14,26,36866,138,1,33,F3
10:14:27,10,14,27,36867,138,1,33,F3
10:14:28,10,14,28,36868,138,1,33,F3
10:14:29,10,14,29,36869,138,1,33,F3
10:14:30,10,14,30,36870,138,1,33,F3
10:14:31,10,14,31,36871,138,1,33,F3
10:14:32,10,14,32,36872,138,1,33,F3
10:14:33,10,14,33,36873,138,1,33,F3
10:14:34,10,14,34,36874,138,1,33,F3
10:14:35,10,14,35,36875,138,1,33,F3
10:14:36,10,14,36,36876,138,1,33,F3
10:14:37,10,14,37,36877,138,1,33,F3
10:14:38,10,14,38,36878,138,1,33,F3
10:14:39,10,14,39,36879,138,1,33,F3
10:14:40,10,14,40,36880,138,1,33,F3
10:14:41,10,14,41,36881,138,1,33,F3
10:14:42,10,14,42,36882,138,1,33,F3
10:14:43,10,14,43,36883,138,1,33,F3
10:14:44,10,14,44,36884,138,1,33,F3
10:14:45,10,14,45,36885,138,1,33,F3
10:14:46,10,14,46,36886,138,1,33,F3
10:14:47,10,14,47,36887,138,1,33,F3
10:14:48,10,14,48,36888,138,1,33,F3
10:14:49,10,14,49,36889,138,1,33,F3
10:14:50,10,14,50,36890,138,1,33,F3
10:14:51,10,14,51,36891,138,1,33,F3
10:14:52,10,14,52,36892,138,1,33,F3
10:14:53,10,14,53,36893,138,1,33,F3
10:14:54,10,14,54,36894,138,1,33,F3
10:14:55,10,14,55,36895,138,1,33,F3
10:14:56,10,14,56,36896,138,1,33,F3
10:14:57,10,14,57,36897,138,1,33,F3
10:14:58,10,14,58,36898,138,1,33,F3
10:14:59,10,14,59,36899,138,1,33,F3
10:15:00,10,15,0,36900,138,1,33,F3
10:15:01,10,15,1,36901,138,1,33,F3
10:15:02,10,15,2,36902,138,1,33,F3
10:15:03,10,15,3,36903,138,1,33,F3
10:15:04,10,15,4,36904,138,1,33,F3
10:15:05,10,15,5,36905,138,1,33,F3
10:15:06,10,15,6,36906,138,1,33,F3
10:15:07,10,15,7,36907,138,1,33,F3
10:15:08,10,15,8,36908,138,1,33,F3
10:15:09,10,15,9,36909,138,1,33,F3
10:15:10,10,15,10,36910,138,1,33,F3
10:15:11,10,15,11,36911,138,1,33,F3
10:15:12,10,15,12,36912,138,1,33,F3
10:15:13,10,15,13,36913,138,1,33,F3
10:15:14,10,15,14,36914,138,1,33,F3
10:15:15,10,15,15,36915,138,1,33,F3
10:15:16,10,15,16,36916,138,1,33,F3
10:15:17,10,15,17,36917,138,1,33,F3
10:15:18,10,15,18,36918,138,1,33,F3
10:15:19,10,15,19,36919,138,1,33,F3
10:15:20,10,15,20,36920,138,1,33,F3
10:15:21,10,15,21,36921,138,1,33,F3
10:15:22,10,15,22,36922,138,1,33,F3
10:15:23,10,15,23,36923,138,1,33,F3
10:15:24,10,15,24,36924,138,1,33,F3
10:15:25,10,15,25,36925,138,1,33,F3
10:15:26,10,15,26,36926,138,1,33,F3
10:15:27,10,15,27,36927,138,1,33,F3
10:15:28,10,15,28,36928,138,1,33,F3
10:15:29,10,15,29,36929,138,1,33,F3
10:15:30,10,15,30,36930,138,1,33,F3
10:15:31,10,15,31,36931,138,1,33,F3
10:15:32,10,15,32,36932,138,1,33,F3
10:15:33,10,15,33,36933,138,1,33,F3
10:15:34,10,15,34,36934,138,1,33,F3
10:15:35,10,15,35,36935,138,1,33,F3
10:15:36,10,15,36,36936,138,1,33,F3
10:15:37,10,15,37,36937,138,1,33,F3
10:15:38,10,15,38,36938,138,1,33,F3
10:15:39,10,15,39,36939,138,1,33,F3
10:15:40,10,15,40,36940,138,1,33,F3
10:15:41,10,15,41,36941,138,1,33,F3
10:15:42,10,15,42,36942,138,1,33,F3
10:15:43,10,15,43,36943,138,1,33,F3
10:15:44,10,15,44,36944,138,1,33,F3
10:15:45,10,15,45,36945,138,1,33,F3
10:15:46,10,15,46,36946,138,1,33,F3
10:15:47,10,15,47,36947,138,1,33,F3
10:15:48,10,15,48,36948,138,1,33,F3
10:15:49,10,15,49,36949,138,1,33,F3
10:15:50,10,15,50,36950,138,1,33,F3
10:15:51,10,15,51,36951,138,1,33,F3
10:15:52,10,15,52,36952,138,1,33,F3
10:15:53,10,15,53,36953,138,1,33,F3
10:15:54,10,15,54,36954,138,1,33,F3
10:15:55,10,15,55,36955,138,1,33,F3
10:15:56,10,15,56,36956,138,1,33,F3
10:15:57,10,15,57,36957,138,1,33,F3
10:15:58,10,15,58,36958,138,1,33,F3
10:15:59,10,15,59,36959,138,1,33,F3
10:16:00,10,16,0,36960,138,1,33,F3
10:16:01,10,16,1,36961,138,1,33,F3
10:16:02,10,16,2,36962,138,1,33,F3
10:16:03,10,16,3,36963,138,1,33,F3
10:16:04,10,16,4,36964,138,1,33,F3
10:16:05,10,16,5,36965,138,1,33,F3
10:16:06,10,16,6,36966,138,1,33,F3
10:16:07,10,16,7,36967,138,1,33,F3
10:16:08,10,16,8,36968,138,1,33,F3
10:16:09,10,16,9,36969,138,1,33,F3
10:16:10,10,16,10,36970,138,1,33,F3
10:16:11,10,16,11,36971,138,1,33,F3
10:16:12,10,16,12,36972,138,1,33,F3
10:16:13,10,16,13,36973,138,1,33,F3
10:16:14,10,16,14,36974,138,1,33,F3
10:16:15,10,16,15,36975,138,1,33,F3
10:16:16,10,16,16,36976,138,1,33,F3
10:16:17,10,16,17,36977,138,1,33,F3
10:16:18,10,16,18,36978,138,1,33,F3
10:16:19,10,16,19,36979,138,1,33,F3
10:16:20,10,16,20,36980,138,1,33,F3
10:16:21,10,16,21,36981,138,1,33,F3
10:16:22,10,16,22,36982,138,1,33,F3
10:16:23,10,16,23,36983,138,1,33,F3
10:16:24,10,16,24,36984,138,1,33,F3
10:16:25,10,16,25,36985,138,1,33,F3
10:16:26,10,16,26,36986,138,1,33,F3
10:16:27,10,16,27,36987,138,1,33,F3
10:16:28,10,16,28,36988,138,1,33,F3
10:16:29,10,16,29,36989,138,1,33,F3
10:16:30,10,16,30,36990,138,1,33,F3
10:16:31,10,16,31,36991,138,1,33,F3
10:16:32,10,16,32,36992,138,1,33,F3
10:16:33,10,16,33,36993,138,1,33,F3
10:16:34,10,16,34,36994,138,1,33,F3
10:16:35,10,16,35,36995,138,1,33,F3
10:16:36,10,16,36,36996,138,1,33,F3
10:16:37,10,16,37,36997,138,1,33,F3
10:16:38,10,16,38,36998,138,1,33,F3
10:16:39,10,16,39,36999,138,1,33,F3
10:16:40,10,16,40,37000,138,1,33,F3
10:16:41,10,16,41,37001,138,1,33,F3
10:16:42,10,16,42,37002,138,1,33,F3
10:16:43,10,16,43,37003,138,1,33,F3
10:16:44,10,16,44,37004,138,1,33,F3
10:16:45,10,16,45,37005,138,1,33,F3
10:16:46,10,16,46,37006,138,1,33,F3
10:16:47,10,16,47,37007,138,1,33,F3
10:16:48,10,16,48,37008,138,1,33,F3
10:16:49,10,16,49,37009,138,1,33,F3
10:16:50,10,16,50,37010,138,1,33,F3
10:16:51,10,16,51,37011,138,1,33,F3
10:16:52,10,16,52,37012,138,1,33,F3
10:16:53,10,16,53,37013,138,1,33,F3
10:16:54,10,16,54,37014,138,1,33,F3
10:16:55,10,16,55,37015,138,1,33,F3
10:16:56,10,16,56,37016,138,1,33,F3
10:16:57,10,16,57,37017,138,1,33,F3
10:16:58,10,16,58,37018,138,1,33,F3
10:16:59,10,16,59,37019,138,1,33,F3
10:17:00,10,17,0,37020,138,1,33,F3
10:17:01,10,17,1,37021,138,1,33,F3
10:17:02,10,17,2,37022,138,1,33,F3
10:17:03,10,17,3,37023,138,1,33,F3
10:17:04,10,17,4,37024,138,1,33,F3
10:17:05,10,17,5,37025,138,1,33,F3
10:17:06,10,17,6,37026,138,1,33,F3
10:17:07,10,17,7,37027,138,1,33,F3
10:17:08,10,17,8,37028,138,1,33,F3
10:17:09,10,17,9,37029,138,1,33,F3
10:17:10,10,17,10,37030,138,1,33,F3
10:17:11,10,17,11,37031,138,1,33,F3
10:17:12,10,17,12,37032,138,1,33,F3
10:17:13,10,17,13,37033,138,1,33,F3
10:17:14,10,17,14,37034,138,1,33,F3
10:17:15,10,17,15,37035,138,1,33,F3
10:17:16,10,17,16,37036,138,1,33,F3
10:17:17,10,17,17,37037,138,1,33,F3
10:17:18,10,17,18,37038,138,1,33,F3
10:17:19,10,17,19,37039,138,1,33,F3
10:17:20,10,17,20,37040,138,1,33,F3
10:17:21,10,17,21,37041,138,1,33,F3
10:17:22,10,17,22,37042,138,1,33,F3
10:17:23,10,17,23,37043,138,1,33,F3
10:17:24,10,17,24,37044,138,1,33,F3
10:17:25,10,17,25,37045,138,1,33,F3
10:17:26,10,17,26,37046,138,1,33,F3
10:17:27,10,17,27,37047,138,1,33,F3
10:17:28,10,17,28,37048,138,1,33,F3
10:17:29,10,17,29,37049,138,1,33,F3
10:17:30,10,17,30,37050,138,1,33,F3
10:17:31,10,17,31,37051,138,1,33,F3
10:17:32,10,17,32,37052,138,1,33,F3
10:17:33,10,17,33,37053,138,1,33,F3
10:17:34,10,17,34,37054,138,1,33,F3
10:17:35,10,17,35,37055,138,1,33,F3
