Light,Time,O2 Signal,H2O2 signal,,H2O2,
138,11:33:00,0.48426,-0.0065713,,Steigung,-299.51
138,11:33:01,0.48451,-0.006661,,Achsenabschnitt,0.6958
138,11:33:02,0.48514,-0.0066356,,,
138,11:33:03,0.48569,-0.0066687,,H2O2 adj,
138,11:33:04,0.48572,-0.0066859,,Steigung,-385.79
138,11:33:05,0.48616,-0.0064974,,Achsenabschnitt,-2.1948
138,11:33:06,0.48655,-0.0063727,,,
138,11:33:07,0.48663,-0.0063949,,O2,
138,11:33:08,0.48729,-0.0058755,,Steigung,768.13
138,11:33:09,0.48725,-0.006167,,Achsenabschnitt,-1.4023
138,11:33:10,0.4878,-0.0063147,,,
138,11:33:11,0.48807,-0.0063943,,,
138,11:33:12,0.48822,-0.0063319,,,
138,11:33:13,0.48858,-0.0063695,,,
138,11:33:14,0.48866,-0.0062396,,,
138,11:33:15,0.48891,-0.0065471,,,
138,11:33:16,0.48892,-0.0067062,,,
138,11:33:17,0.48889,-0.0067419,,,
138,11:33:18,0.48916,-0.0068615,,,
138,11:33:19,0.48911,-0.0068482,,,
138,11:33:20,0.48897,-0.0068883,,,
138,11:33:21,0.48912,-0.006901,,,
138,11:33:22,0.48892,-0.0069163,,,
138,11:33:23,0.48911,-0.0068813,,,
138,11:33:24,0.48893,-0.0069163,,,
138,11:33:25,0.48894,-0.0067508,,,
138,11:33:26,0.48859,-0.0068679,,,
138,11:33:27,0.48865,-0.0068183,,,
138,11:33:28,0.48835,-0.006733,,,
138,11:33:29,0.48824,-0.0066922,,,
138,11:33:30,0.48818,-0.0067699,,,
138,11:33:31,0.48793,-0.0067285,,,
138,11:33:32,0.4881,-0.0065986,,,
138,11:33:33,0.48777,-0.0067756,,,
138,11:33:34,0.48785,-0.0066929,,,
138,11:33:35,0.48799,-0.0068202,,,
138,11:33:36,0.48803,-0.0061881,,,
138,11:33:37,0.48921,-0.005442,,,
138,11:33:38,0.49018,-0.0058959,,,
138,11:33:39,0.48966,-0.0061804,,,
138,11:33:40,0.48982,-0.0059703,,,
138,11:33:41,0.48982,-0.0063313,,,
138,11:33:42,0.49003,-0.006218,,,
138,11:33:43,0.48954,-0.0065019,,,
138,11:33:44,0.48926,-0.0066483,,,
138,11:33:45,0.48885,-0.0068997,,,
138,11:33:46,0.4881,-0.0069169,,,
138,11:33:47,0.48813,-0.007092,,,
138,11:33:48,0.48752,-0.007099,,,
138,11:33:49,0.48755,-0.0070334,,,
138,11:33:50,0.48765,-0.0070971,,,
138,11:33:51,0.48733,-0.0071092,,,
138,11:33:52,0.48704,-0.007106,,,
138,11:33:53,0.48683,-0.0067731,,,
138,11:33:55,0.4868,-0.0066407,,,
